,adult,budget,id,imdb_id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
49,FALSE,18000000,85,tt0082971,en,19.901576,6/12/81,389925971,115,Released,Raiders of the Lost Ark,7.7,3949
50,FALSE,6000000,86,tt0430051,de,11.552537,2/10/06,0,105,Released,The Elementary Particles,6.4,34
51,FALSE,28000000,87,tt0087469,en,15.802306,5/23/84,333000000,118,Released,Indiana Jones and the Temple of Doom,7.1,2841
52,FALSE,6000000,88,tt0092890,en,14.044122,8/21/87,213954274,100,Released,Dirty Dancing,7.1,1371
53,FALSE,48000000,89,tt0097576,en,14.788987,5/24/89,474171806,127,Released,Indiana Jones and the Last Crusade,7.6,3221
54,FALSE,15000000,90,tt0086960,en,8.503483,11/29/84,316360478,105,Released,Beverly Hills Cop,6.8,985
55,FALSE,20000,91,tt0023037,es,2.475972,12/1/33,0,29,Released,Land Without Bread,6.5,21
58,FALSE,140000000,95,tt0120591,en,13.235112,7/1/98,553799566,151,Released,Armageddon,6.5,2540
59,FALSE,20000000,96,tt0092644,en,9.200336,5/18/87,299965036,100,Released,Beverly Hills Cop II,6.1,627
60,FALSE,17000000,97,tt0084827,en,16.574021,7/9/82,33000000,96,Released,Tron,6.6,717
61,FALSE,103000000,98,tt0172495,en,23.186667,5/1/00,457640427,155,Released,Gladiator,7.9,5566
62,FALSE,8272296,99,tt0185125,es,10.000915,4/19/99,67872296,101,Released,All About My Mother,7.4,337
63,FALSE,1350000,100,tt0120735,en,4.60786,3/5/98,3897569,105,Released,"Lock, Stock and Two Smoking Barrels",7.5,1671
64,FALSE,16000000,101,tt0110413,fr,20.477329,9/14/94,45284974,110,Released,Leon: The Professional,8.2,4293
66,FALSE,1300000,103,tt0075314,en,14.092713,2/7/76,28262574,114,Released,Taxi Driver,8.1,2632
67,FALSE,1530000,104,tt0130827,de,7.765379,8/20/98,7267585,81,Released,Run Lola Run,7.2,672
68,FALSE,19000000,105,tt0088763,en,25.778509,7/3/85,381109762,116,Released,Back to the Future,8,6239
69,FALSE,18000000,106,tt0093773,en,18.495694,6/11/87,98235548,107,Released,Predator,7.3,2129
70,FALSE,10000000,107,tt0208092,en,14.014025,9/1/00,83557872,103,Released,Snatch,7.7,2953
74,FALSE,25000000,111,tt0086250,en,11.299673,12/8/83,65884703,170,Released,Scarface,8,3017
77,FALSE,14000000,114,tt0100405,en,13.348451,3/23/90,463000000,119,Released,Pretty Woman,7,1807
78,FALSE,15000000,115,tt0118715,en,15.952524,3/6/98,46189568,117,Released,The Big Lebowski,7.8,3001
79,FALSE,15000000,116,tt0416320,en,9.020372,10/26/05,85306374,124,Released,Match Point,7.2,1134
80,FALSE,25000000,117,tt0094226,en,11.062203,6/2/87,76270454,119,Released,The Untouchables,7.6,1424
81,FALSE,150000000,118,tt0367594,en,22.038405,7/13/05,474968763,115,Released,Charlie and the Chocolate Factory,6.7,3759
82,FALSE,93000000,120,tt0120737,en,32.070725,12/18/01,871368364,178,Released,The Lord of the Rings: The Fellowship of the Ring,8,8892
83,FALSE,79000000,121,tt0167261,en,29.423537,12/18/02,926287400,179,Released,The Lord of the Rings: The Two Towers,8,7641
84,FALSE,94000000,122,tt0167260,en,29.324358,12/1/03,1118888979,201,Released,The Lord of the Rings: The Return of the King,8.1,8226
85,FALSE,4000000,123,tt0077869,en,7.914795,11/15/78,30471420,132,Released,The Lord of the Rings,6.1,187
88,FALSE,26500000,128,tt0119698,ja,17.166725,7/12/97,159375308,134,Released,Princess Mononoke,8.2,2041
89,FALSE,15000000,129,tt0245429,ja,41.048867,7/20/01,274925095,125,Released,Spirited Away,8.3,3968
92,FALSE,26000000,134,tt0190590,en,12.434175,8/30/00,71868327,106,Released,"O Brother, Where Art Thou?",7.3,1144
95,FALSE,14600000,137,tt0107048,en,12.989627,2/11/93,70906973,101,Released,Groundhog Day,7.4,2358
96,FALSE,355000,138,tt0021814,en,7.503126,2/12/31,1012189,72,Released,Dracula,7.2,254
98,FALSE,5000000,140,tt0275491,es,7.66414,3/19/04,40266982,106,Released,Bad Education,7.1,223
99,FALSE,6000000,141,tt0246578,en,18.303148,1/18/01,1270522,113,Released,Donnie Darko,7.7,3574
100,FALSE,14000000,142,tt0388795,en,11.787044,9/2/05,178043761,134,Released,Brokeback Mountain,7.5,1531
101,FALSE,1250000,143,tt0020629,en,15.235056,4/29/30,0,133,Released,All Quiet on the Western Front,7.5,166
102,FALSE,2500000,144,tt0093191,de,6.357321,1/1/87,3200000,128,Released,Wings of Desire,7.5,256
104,FALSE,17000000,146,tt0190332,zh,19.944953,10/1/00,213525736,120,Released,"Crouching Tiger, Hidden Dragon",7.2,949
106,FALSE,5000000,148,tt0430576,en,12.775583,12/15/05,0,112,Released,The Secret Life of Words,6.8,52
107,FALSE,8000000,149,tt0094625,ja,10.888917,7/16/88,553171,124,Released,Akira,7.8,792
108,FALSE,12000000,150,tt0083511,en,15.297121,12/7/82,78868508,96,Released,48 Hrs.,6.5,364
109,FALSE,35000000,152,tt0079945,en,8.277765,12/6/79,139000000,132,Released,Star Trek: The Motion Picture,6.2,541
110,FALSE,4000000,153,tt0335266,en,11.609441,8/31/03,119723856,102,Released,Lost in Translation,7.3,1943
111,FALSE,12000000,154,tt0084726,en,7.160236,6/3/82,96800000,113,Released,Star Trek II: The Wrath of Khan,7.3,688
112,FALSE,185000000,155,tt0468569,en,123.167259,7/16/08,1004558444,152,Released,The Dark Knight,8.3,12269
114,FALSE,18000000,157,tt0088170,en,6.197298,5/31/84,87000000,105,Released,Star Trek III: The Search for Spock,6.4,443
118,FALSE,85000000,161,tt0240772,en,12.114932,12/7/01,450717150,116,Released,Ocean's Eleven,7.2,3857
119,FALSE,20000000,162,tt0099487,en,17.612244,12/5/90,53000000,105,Released,Edward Scissorhands,7.5,3731
120,FALSE,110000000,163,tt0349903,en,11.869347,12/9/04,362744280,125,Released,Ocean's Twelve,6.4,2169
121,FALSE,2500000,164,tt0054698,en,10.879289,10/5/61,9500000,110,Released,Breakfast at Tiffany's,7.6,1082
122,FALSE,40000000,165,tt0096874,en,13.689855,11/20/89,332000000,108,Released,Back to the Future Part II,7.4,3926
124,FALSE,48000000,167,tt0272152,en,12.400152,10/22/01,50315140,120,Released,K-PAX,7.1,710
125,FALSE,24000000,168,tt0092007,en,12.596956,11/25/86,133000000,119,Released,Star Trek IV: The Voyage Home,6.9,490
126,FALSE,35000000,169,tt0100403,en,11.736241,11/20/90,57120318,108,Released,Predator 2,6,743
127,FALSE,5000000,170,tt0289043,en,17.656951,10/31/02,82719885,113,Released,28 Days Later,7.1,1816
129,FALSE,30000000,172,tt0098382,en,12.308007,6/9/89,70200000,107,Released,Star Trek V: The Final Frontier,5.6,384
130,FALSE,5000000,173,tt0046672,en,8.722406,12/23/54,28200000,127,Released,"20,000 Leagues Under the Sea",6.9,160
131,FALSE,27000000,174,tt0102975,en,5.90057,12/5/91,96900000,113,Released,Star Trek VI: The Undiscovered Country,6.7,421
133,FALSE,1200000,176,tt0387564,en,23.508433,10/1/04,103911669,103,Released,Saw,7.2,2255
134,FALSE,24000000,177,tt0101889,en,11.184385,9/9/91,41895491,137,Released,The Fisher King,7.2,346
136,FALSE,80000000,179,tt0373926,en,12.047671,4/8/05,162944923,128,Released,The Interpreter,6.2,400
137,FALSE,102000000,180,tt0181689,en,20.666063,6/20/02,358372926,145,Released,Minority Report,7.1,2663
138,FALSE,32000000,182,tt0452624,en,5.290831,12/8/06,5914908,108,Released,The Good German,5.9,87
139,FALSE,6000000,183,tt0098663,en,5.763954,12/15/89,14278900,100,Released,The Wizard,6.1,83
140,FALSE,12000000,184,tt0119396,en,16.415498,12/24/97,39673162,154,Released,Jackie Brown,7.3,1580
141,FALSE,2200000,185,tt0066921,en,17.112594,12/18/71,26589000,136,Released,A Clockwork Orange,8,3432
142,FALSE,27000000,186,tt0425210,en,11.15092,2/24/06,56308881,110,Released,Lucky Number Slevin,7.4,1356
143,FALSE,40000000,187,tt0401792,en,15.010525,4/1/05,158733820,124,Released,Sin City,7.2,2755
144,FALSE,65000000,189,tt0458481,en,20.623642,8/20/14,39407616,102,Released,Sin City: A Dame to Kill For,6.3,1314
145,FALSE,20000000,192,tt0091605,en,11.469751,9/24/86,77200000,130,Released,The Name of the Rose,7.2,739
146,FALSE,38000000,193,tt0111280,en,8.105708,11/17/94,120000000,118,Released,Star Trek: Generations,6.4,461
147,FALSE,10000000,194,tt0211915,fr,12.879381,4/25/01,173921954,122,Released,Amélie,7.8,3403
149,FALSE,40000000,196,tt0099088,en,13.043999,5/25/90,244527583,118,Released,Back to the Future Part III,7.1,2978
150,FALSE,72000000,197,tt0112573,en,20.755149,5/24/95,210000000,177,Released,Braveheart,7.7,3404
152,FALSE,46000000,199,tt0117731,en,8.808497,11/21/96,150000000,111,Released,Star Trek: First Contact,7,671
153,FALSE,70000000,200,tt0120844,en,9.538877,12/10/98,118000000,103,Released,Star Trek: Insurrection,6.3,402
154,FALSE,60000000,201,tt0253754,en,11.367801,12/13/02,67312826,117,Released,Star Trek: Nemesis,6.1,488
155,FALSE,500000,203,tt0070379,en,8.212399,10/2/73,3000000,110,Released,Mean Streets,7.2,359
157,FALSE,17500000,205,tt0395169,en,10.262332,9/11/04,38000000,121,Released,Hotel Rwanda,7.5,805
159,FALSE,16400000,207,tt0097165,en,19.905716,6/2/89,235860116,129,Released,Dead Poets Society,8.1,2786
161,FALSE,1120175,212,tt0036613,en,13.99011,9/23/44,0,118,Released,Arsenic and Old Lace,7.4,234
162,FALSE,4000000,213,tt0053125,en,12.410427,7/7/59,13275000,136,Released,North by Northwest,7.8,1062
163,FALSE,10000000,214,tt0489270,en,14.938035,10/27/06,163876815,108,Released,Saw III,6.1,1104
164,FALSE,4000000,215,tt0432348,en,15.399863,10/28/05,152925093,92,Released,Saw II,6.3,1288
165,FALSE,130000,216,tt0071141,de,5.855308,3/5/74,0,93,Released,Ali: Fear Eats the Soul,7.5,74
166,FALSE,185000000,217,tt0367882,en,12.577266,5/21/08,786636033,122,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2558
167,FALSE,6400000,218,tt0088247,en,19.293562,10/26/84,78371200,108,Released,The Terminator,7.4,4208
168,FALSE,12899867,219,tt0441909,es,6.302926,3/16/06,85582407,121,Released,Volver,7.3,419
169,FALSE,1,220,tt0048028,en,6.42883,3/9/55,5,115,Released,East of Eden,7.5,163
170,FALSE,1500000,221,tt0048545,en,10.968169,10/27/55,0,111,Released,Rebel Without a Cause,7.6,351
172,FALSE,1288000,223,tt0032976,en,8.590813,4/12/40,6000000,130,Released,Rebecca,7.7,346
175,FALSE,2000000,226,tt0171804,en,6.536006,9/2/99,11540607,118,Released,Boys Don't Cry,7.2,360
176,FALSE,10000000,227,tt0086066,en,6.435926,3/25/83,33697647,91,Released,The Outsiders,6.9,293
178,FALSE,393750,229,tt0026138,en,7.000417,4/21/35,0,75,Released,Bride of Frankenstein,7.4,208
179,FALSE,50000000,231,tt0365737,en,5.768575,11/23/05,94000000,128,Released,Syriana,6.3,455
180,FALSE,10000000,232,tt0086216,en,8.20519,10/20/83,2494480,94,Released,Rumble Fish,6.8,141
182,FALSE,18000,234,tt0010323,de,7.191271,2/25/20,0,78,Released,The Cabinet of Dr. Caligari,7.7,279
183,FALSE,8000000,235,tt0092005,en,15.206957,8/22/86,52287414,89,Released,Stand by Me,7.8,1568
184,FALSE,3000000,236,tt0110598,en,5.254847,9/29/94,15119639,106,Released,Muriel's Wedding,6.9,104
185,FALSE,6400000,237,tt0289635,en,5.235419,9/26/03,2500000,93,Released,Young Adam,5.9,46
186,FALSE,6000000,238,tt0068646,en,41.109264,3/14/72,245066411,175,Released,The Godfather,8.5,6024
187,FALSE,2883848,239,tt0053291,en,11.845107,3/18/59,25000000,122,Released,Some Like It Hot,8,835
188,FALSE,13000000,240,tt0071562,en,36.629307,12/20/74,47542841,200,Released,The Godfather: Part II,8.3,3418
189,FALSE,34000000,241,tt0110632,en,11.226856,8/25/94,50282766,119,Released,Natural Born Killers,6.9,927
190,FALSE,54000000,242,tt0099674,en,17.185349,12/24/90,136766062,162,Released,The Godfather: Part III,7.1,1589
191,FALSE,30000000,243,tt0146882,en,8.524956,3/17/00,47126295,113,Released,High Fidelity,7,636
192,FALSE,672000,244,tt0024216,en,8.73274,4/7/33,10000000,100,Released,King Kong,7.7,346
193,FALSE,27000000,245,tt0276751,en,10.956665,4/26/02,129000000,101,Released,About a Boy,6.6,627
195,FALSE,320000,247,tt0049406,en,10.223264,5/8/56,0,85,Released,The Killing,7.7,290
196,FALSE,2900000,248,tt0055312,en,2.649605,12/18/61,5000000,136,Released,Pocketful of Miracles,7.3,25
199,FALSE,22000000,251,tt0099653,en,11.945397,7/12/90,505000000,127,Released,Ghost,6.9,1381
200,FALSE,3000000,252,tt0067992,en,12.416635,6/29/71,4000000,100,Released,Willy Wonka & the Chocolate Factory,7.4,826
201,FALSE,7000000,253,tt0070328,en,9.773768,7/5/73,161777836,121,Released,Live and Let Die,6.4,540
202,FALSE,207000000,254,tt0360717,en,19.761164,12/14/05,550000000,187,Released,King Kong,6.6,2403
203,FALSE,350000,255,tt0062695,fr,6.564465,8/13/68,0,96,Released,Stolen Kisses,7.4,59
205,FALSE,50000000,257,tt0380599,en,12.369935,9/23/05,42093706,130,Released,Oliver Twist,6.7,283
209,FALSE,3000000,261,tt0051459,en,11.794846,2/17/58,17570324,108,Released,Cat on a Hot Tin Roof,7.6,168
210,FALSE,20000000,262,tt0085794,en,9.093411,12/18/82,0,109,Released,The King of Comedy,7.6,306
212,FALSE,900000,266,tt0057345,fr,7.543337,10/21/63,528428,103,Released,Contempt,7.5,138
214,FALSE,35000000,268,tt0096895,en,19.10673,6/23/89,411348924,126,Released,Batman,7,2145
217,FALSE,150000000,272,tt0372784,en,28.505341,6/10/05,374218673,140,Released,Batman Begins,7.5,7511
218,FALSE,250000,273,tt0276617,de,3.10114,12/31/01,0,107,Released,The White Sound,7,16
219,FALSE,19000000,274,tt0102926,en,4.307222,2/1/91,272742922,119,Released,The Silence of the Lambs,8.1,4549
220,FALSE,7000000,275,tt0116282,en,12.61469,4/5/96,60611975,98,Released,Fargo,7.7,2080
222,FALSE,22000000,277,tt0320691,en,20.624333,9/19/03,95708457,121,Released,Underworld,6.6,2556
223,FALSE,25000000,278,tt0111161,en,51.645403,9/23/94,28341469,142,Released,The Shawshank Redemption,8.5,8358
224,FALSE,18000000,279,tt0086879,en,12.677592,10/26/84,51973029,160,Released,Amadeus,7.8,1107
225,FALSE,100000000,280,tt0103064,en,22.661695,7/1/91,520000000,137,Released,Terminator 2: Judgment Day,7.7,4274
226,FALSE,42000000,281,tt0114558,en,11.223055,10/13/95,7959291,145,Released,Strange Days,6.8,334
227,FALSE,3000000,284,tt0053604,en,11.994281,6/15/60,25000000,125,Released,The Apartment,8.1,498
228,FALSE,300000000,285,tt0449088,en,31.363664,5/19/07,961000000,169,Released,Pirates of the Caribbean: At World's End,6.9,4627
230,FALSE,7000000,287,tt0094812,en,6.924072,6/15/88,50888000,108,Released,Bull Durham,6.6,154
231,FALSE,730000,288,tt0044706,en,16.715935,3/27/52,8000000,85,Released,High Noon,7.6,343
232,FALSE,878000,289,tt0034583,en,13.916101,11/26/42,10462500,102,Released,Casablanca,7.9,1462
233,FALSE,9000000,290,tt0101410,en,8.387026,8/1/91,6153939,116,Released,Barton Fink,7.4,450
234,FALSE,2600000,291,tt0389326,en,2.203949,7/9/04,3166000,105,Released,Riding Giants,7.6,23
235,FALSE,3000000,292,tt0425598,en,2.092791,9/12/05,11718595,100,Released,Dave Chappelle's Block Party,6.5,29
237,FALSE,350000,294,tt0089015,en,1.553107,10/1/85,2400000,96,Released,Desert Hearts,6.7,21
238,FALSE,200000000,296,tt0181852,en,20.818907,7/2/03,435000000,109,Released,Terminator 3: Rise of the Machines,5.9,2177
239,FALSE,90000000,297,tt0119643,en,14.026744,11/12/98,142940100,178,Released,Meet Joe Black,6.9,1174
240,FALSE,85000000,298,tt0496806,en,12.16276,6/7/07,311312624,122,Released,Ocean's Thirteen,6.5,2040
242,FALSE,6000000,300,tt0354899,fr,10.603991,2/11/06,9524340,105,Released,The Science of Sleep,6.8,253
244,FALSE,7800000,302,tt0324133,en,14.481103,5/18/03,22441323,102,Released,Swimming Pool,6.5,154
245,FALSE,2000000,303,tt0038787,en,10.135111,8/15/46,24464742,102,Released,Notorious,7.8,345
246,FALSE,50000000,306,tt0109254,en,11.787784,5/24/94,119208989,104,Released,Beverly Hills Cop III,5.5,445
248,FALSE,10000000,308,tt0412019,en,6.589304,5/17/05,45742101,105,Released,Broken Flowers,6.8,359
249,FALSE,1300000,309,tt0154420,da,6.064954,5/20/98,0,105,Released,The Celebration,7.7,213
250,FALSE,80000000,310,tt0315327,en,15.947524,5/23/03,484572835,101,Released,Bruce Almighty,6.4,3121
251,FALSE,30000000,311,tt0087843,en,32.182851,2/16/84,0,229,Released,Once Upon a Time in America,8.3,1104
253,FALSE,12000000,313,tt0448124,en,11.556057,2/9/06,1381665,112,Released,Snow Cake,7.3,51
254,FALSE,100000000,314,tt0327554,en,13.340272,7/22/04,82102379,104,Released,Catwoman,4.2,833
255,FALSE,45000,315,tt0059170,en,4.220541,8/6/65,0,83,Released,"Faster, Pussycat! Kill! Kill!",6.5,59
256,FALSE,600000,316,tt0304126,de,0.637825,2/12/02,0,111,Released,Grill Point,6.9,7
258,FALSE,8000000,318,tt0120753,en,4.938231,2/9/00,0,122,Released,The Million Dollar Hotel,5.9,76
259,FALSE,12500000,319,tt0108399,en,17.189328,9/9/93,12281551,120,Released,True Romance,7.5,762
260,FALSE,46000000,320,tt0278504,en,11.424974,5/24/02,113714830,118,Released,Insomnia,6.8,1181
261,FALSE,4361898,321,tt0330602,en,2.873356,6/6/03,3031801,92,Released,Mambo Italiano,5.6,28
262,FALSE,25000000,322,tt0327056,en,12.602438,10/7/03,156822020,138,Released,Mystic River,7.6,1473
263,FALSE,33000000,326,tt0417148,en,7.418574,8/6/06,62022014,105,Released,Snakes on a Plane,5.1,504
264,FALSE,12000000,327,tt0222851,ja,8.134524,9/9/00,15250000,114,Released,Brother,6.8,107
265,FALSE,63000000,329,tt0107290,en,8.863776,6/11/93,920100000,127,Released,Jurassic Park,7.6,4956
266,FALSE,73000000,330,tt0119567,en,0.788123,5/23/97,229074524,129,Released,The Lost World: Jurassic Park,6.2,2528
267,FALSE,93000000,331,tt0163025,en,0.648867,7/18/01,368780809,92,Released,Jurassic Park III,5.7,2109
268,FALSE,75000000,332,tt0141369,en,11.677244,7/23/99,0,78,Released,Inspector Gadget,4.3,322
270,FALSE,37000000,334,tt0175880,en,9.091636,12/8/99,48451803,188,Released,Magnolia,7.5,844
271,FALSE,5000000,335,tt0064116,it,15.589351,12/21/68,5321508,175,Released,Once Upon a Time in the West,8.1,1160
274,FALSE,4800000,338,tt0301357,de,10.605595,2/9/03,79384880,121,Released,"Good bye, Lenin!",7.4,602
275,FALSE,3500000,339,tt0102536,en,8.291886,10/3/91,2015810,129,Released,Night on Earth,7.5,165
276,FALSE,7000000,340,tt0404030,en,7.738924,9/16/05,2697930,106,Released,Everything is Illuminated,7.4,251
277,FALSE,2700000,342,tt0420206,de,3.894549,9/2/04,0,98,Released,Summer Storm,6.7,60
278,FALSE,1200000,343,tt0067185,en,10.878112,12/20/71,0,91,Released,Harold and Maude,7.7,266
279,FALSE,2888030,344,tt0135790,de,3.931984,8/26/99,0,110,Released,"Bang, Boom, Bang",7.5,52
280,FALSE,65000000,345,tt0120663,en,13.268484,7/14/99,162091208,159,Released,Eyes Wide Shut,7.1,1266
281,FALSE,2000000,346,tt0047478,ja,15.01777,4/26/54,271841,207,Released,Seven Samurai,8.2,892
283,FALSE,11000000,348,tt0078748,en,23.37742,5/25/79,104931801,117,Released,Alien,7.9,4564
285,FALSE,35000000,350,tt0458352,en,13.102384,6/30/06,326551094,109,Released,The Devil Wears Prada,7,3198
287,FALSE,80000000,364,tt0103776,en,15.001681,6/19/92,280000000,126,Released,Batman Returns,6.6,1706
288,FALSE,1800000,377,tt0087800,en,13.694713,11/14/84,25504513,91,Released,A Nightmare on Elm Street,7.2,1212
289,FALSE,6000000,378,tt0093822,en,14.011415,3/1/87,29180280,94,Released,Raising Arizona,7.2,548
290,FALSE,14000000,379,tt0100150,en,7.495853,9/21/90,5080409,115,Released,Miller's Crossing,7.5,431
291,FALSE,25000000,380,tt0095953,en,11.267467,12/11/88,412800000,133,Released,Rain Man,7.6,1762
292,FALSE,2500000,381,tt0048728,en,5.490505,8/3/55,8750000,106,Released,To Catch a Thief,7.1,299
293,FALSE,22500,383,tt0089537,en,2.916721,2/5/86,0,78,Released,Mala Noche,6,20
294,FALSE,14000000,387,tt0082096,de,8.80338,9/16/81,85000000,149,Released,Das Boot,7.9,623
295,FALSE,45000000,388,tt0454848,en,13.393548,3/23/06,184376254,129,Released,Inside Man,7.3,1671
296,FALSE,350000,389,tt0050083,en,16.503959,3/25/57,1000000,96,Released,12 Angry Men,8.2,2130
298,FALSE,200000,391,tt0058461,it,12.429704,9/12/64,14500000,99,Released,A Fistful of Dollars,7.6,909
299,FALSE,25000000,392,tt0241303,en,8.9256,12/14/00,152500343,121,Released,Chocolat,6.8,979
300,FALSE,30000000,393,tt0378194,en,21.533072,4/16/04,152159461,136,Released,Kill Bill: Vol. 2,7.7,4061
301,FALSE,70000000,395,tt0370263,en,12.636205,8/12/04,171183863,101,Released,AVP: Alien vs. Predator,5.6,1241
302,FALSE,7500000,396,tt0061184,en,5.564294,6/21/66,33736689,131,Released,Who's Afraid of Virginia Woolf?,7.8,199
304,FALSE,7000000,398,tt0379725,en,6.01272,9/30/05,49084830,114,Released,Capote,6.9,394
305,FALSE,8000000,400,tt0114660,en,4.486179,12/1/95,529766,116,Released,Things to Do in Denver When You're Dead,6.7,87
306,FALSE,2500000,401,tt0333766,en,11.630809,7/28/04,26781723,102,Released,Garden State,7.1,631
307,FALSE,49000000,402,tt0103772,en,16.628427,3/20/92,352927224,127,Released,Basic Instinct,6.5,869
308,FALSE,7500000,403,tt0097239,en,10.703677,12/13/89,145793296,99,Released,Driving Miss Daisy,7,358
309,FALSE,10000000,404,tt0166896,en,14.580995,10/15/99,0,112,Released,The Straight Story,7.7,315
311,FALSE,3000000,406,tt0113247,fr,12.108196,5/31/95,0,98,Released,La Haine,7.9,695
312,FALSE,500000,407,tt0162426,de,1.463414,10/15/98,0,93,Released,Short Sharp Shock,6.1,10
313,FALSE,1488423,408,tt0029583,en,16.263878,12/20/37,184925486,83,Released,Snow White and the Seven Dwarfs,6.9,1973
314,FALSE,27000000,409,tt0116209,en,15.564161,11/14/96,231976425,162,Released,The English Patient,7,559
316,FALSE,180000000,411,tt0363771,en,18.13542,12/7/05,748806957,143,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2709
317,FALSE,100000000,414,tt0112462,en,13.321354,6/16/95,336529144,121,Released,Batman Forever,5.2,1529
318,FALSE,125000000,415,tt0118688,en,17.038824,6/20/97,238207122,125,Released,Batman & Robin,4.2,1447
